"species";"growth.rate";"SiteID";"Density.tree.Class";"age"
"Beech";0,701705187934255;1;"high";55
"Beech";1,13899490483325;1;"low";42
"Beech";1,39410120922438;12;"medium";60
"Spruce";0,999518941940366;12;"medium";63
"Spruce";1,35492399294231;12;"high";58
"Spruce";1,16621879905817;12;"high";57
"Beech";1,45996039116999;12;"low";65
"Beech";1,32179229389009;12;"medium";61
"Beech";0,945298291903428;12;"low";65
"Beech";1,60132129253003;12;"medium";58
"Beech";1,30220118213955;12;"high";60
"Spruce";1,34662717223953;12;"medium";68
"Spruce";1,42344905122576;12;"low";55
"Beech";1,22835600581766;1;"medium";47
"Beech";0,934618652074898;1;"high";57
"Beech";1,22081241106025;1;"medium";61
"Beech";1,06927430119696;15;"high";54
"Spruce";0,696774628910991;15;"high";53
"Spruce";0,876065177483692;15;"medium";54
"Spruce";1,06751634856084;15;"high";53
"Beech";1,47845908855446;15;"low";65
"Beech";0,51723125617242;15;"medium";48,5
"Beech";1,19147116207841;15;"medium";56
"Beech";1,4520405797888;15;"medium";48
"Beech";1,27986364916075;15;"medium";56
"Spruce";0,914879224311115;15;"high";54
"Spruce";1,38001689162522;15;"high";54
"Spruce";0,923793364868271;15;"medium";54
"Beech";1,40052312495559;1;"high";64
"Spruce";0,956294534467326;18;"medium";41
"Beech";1,14531074661587;18;"high";55
"Beech";1,24767515983149;18;"high";48
"Beech";0,873307088623913;18;"high";63
"Spruce";1,60245327619596;18;"high";68
"Spruce";0,818568289455296;18;"low";70
"Spruce";1,57230095198116;18;"high";70
"Spruce";1,11425865306498;18;"medium";43
"Spruce";1,54306287121737;18;"medium";40
"Beech";1,04310707392946;18;"high";63
"Beech";1,31434998063419;18;"high";71
"Beech";1,37917370128201;18;"high";66
"Spruce";1,50996322585228;23;"high";78
"Spruce";1,07965172875502;23;"high";75
"Spruce";1,53692961019827;23;"high";74
"Spruce";1,36117641100577;23;"high";74
"Spruce";1,59085516413278;23;"medium";97
"Spruce";0,860776928748876;23;"high";77
"Spruce";0,577951952399505;24;"high";77,5
"Spruce";0,809609515511558;24;"high";76
"Spruce";0,967229043693763;24;"medium";78
"Spruce";1,01517776128239;24;"medium";74,5
"Spruce";1,43674049771686;24;"high";75
"Spruce";1,38545124580339;24;"medium";77
"Spruce";1,08059620154094;25;"high";83
"Spruce";1,31515571149878;25;"high";88
"Spruce";1,4101423065592;25;"high";88
"Spruce";1,40364332054136;25;"medium";86,5
"Beech";1,51144610788064;26;"high";72
"Beech";1,24288263196342;26;"medium";62
"Beech";1,25306214752384;26;"low";57
"Beech";1,17589700958299;26;"high";64
"Beech";1,21117466883019;26;"medium";69
"Beech";1,3242360298274;26;"high";61
"Larch";1,12534961488663;27;"low";26
"Larch";1,01141701895254;27;"medium";26
"Larch";0,831961657597417;27;"medium";26
"Larch";1,23947757460756;27;"low";26
"Larch";0,828814025613713;27;"medium";26
"Larch";1,09937654528184;27;"medium";26
"Larch";1,2529833278063;28;"low";61
"Larch";0,809172351691323;28;"medium";63
"Larch";0,337771631294595;28;"low";64
"Larch";0,319339242361304;28;"low";64
"Larch";0,71134156258053;28;"medium";64
"Larch";1,15013619628652;28;"low";62
"Larch";0,535724898511469;29;"low";53,5
"Larch";0,915002535183078;29;"low";51
"Larch";0,413231021917405;29;"low";52,5
"Larch";0,680251033176436;29;"low";51
"Larch";0,392013473342434;29;"low";52
"Larch";0,992758469967318;29;"low";52
"Oak";0,884121424248229;30;"low";68
"Oak";0,61839929794716;30;"low";66
"Oak";0,691290397458259;30;"low";55
"Oak";0,6433887143069;30;"low";71
"Oak";0,728112467737318;30;"low";63
"Oak";0,756959085114334;30;"low";65
"Beech";1,18458234305561;3;"low";80
"Oak";0,950324304191037;31;"medium";82
"Oak";0,619083663309085;31;"low";89
"Oak";0,812954878790711;31;"low";88
"Oak";0,944989703066474;31;"low";87
"Oak";0,915696760381642;31;"low";129
"Beech";1,32837699881078;3;"high";85
"Oak";1,3111165618812;32;"low";86
"Oak";0,499535777343758;32;"low";85
"Oak";0,633919475370735;32;"low";76
"Oak";0,829537286640407;32;"low";84
"Oak";1,0199038419086;32;"low";85
"Oak";0,952560853343954;32;"low";84
"Beech";1,01992108116756;3;"high";66
"Beech";1,07552444272817;33;"high";68
"Larch";1,10772208430747;33;"low";60
"Larch";0,983262902428661;33;"high";62
"Larch";1,15485364796087;33;"high";61
"Beech";1,40966256167714;33;"medium";56
"Beech";1,32366542647953;33;"medium";54
"Beech";1,29659533322249;33;"high";57
